
s: 9100001,	-1,	1,	1,	0,	0x00FF00
s: 9100002,	-1,	-1,	1,	0,	0x00FF00
s: 9100003,	-1,	-1,	-1,	0,	0x00FF00
s: 9100004,	-1,	1,	-1,	0,	0x00FF00
s: 9100005,	-3,	1,	1,	0,	0x00FF00
s: 9100006,	-3,	-1,	1,	0,	0x00FF00
s: 9100007,	-3,	-1,	-1,	0,	0x00FF00
s: 9100008,	-3,	1,	-1,	0,	0x00FF00

s: 0001001,	1,	3,	1,	0,	0x00FF00
s: 0001002,	1,	1,	1,	0,	0x00FF00
s: 0001003,	1,	1,	-1,	0,	0x00FF00
s: 0001004,	1,	3,	-1,	0,	0x00FF00
s: 0001005,	-1,	3,	1,	0,	0x00FF00
s: 0001006,	-1,	1,	1,	0,	0x00FF00
s: 0001007,	-1,	1,	-1,	0,	0x00FF00
s: 0001008,	-1,	3,	-1,	0,	0x00FF00

s: 0091001,	1,	-1,	1,	0,	0x00FF00
s: 0091002,	1,	-3,	1,	0,	0x00FF00
s: 0091003,	1,	-3,	-1,	0,	0x00FF00
s: 0091004,	1,	-1,	-1,	0,	0x00FF00
s: 0091005,	-1,	-1,	1,	0,	0x00FF00
s: 0091006,	-1,	-3,	1,	0,	0x00FF00
s: 0091007,	-1,	-3,	-1,	0,	0x00FF00
s: 0091008,	-1,	-1,	-1,	0,	0x00FF00

s: 0101001,	3,	3,	1,	0,	0x00FF00
s: 0101002,	3,	1,	1,	0,	0x00FF00
s: 0101003,	3,	1,	-1,	0,	0x00FF00
s: 0101004,	3,	3,	-1,	0,	0x00FF00
s: 0101005,	1,	3,	1,	0,	0x00FF00
s: 0101006,	1,	1,	1,	0,	0x00FF00
s: 0101007,	1,	1,	-1,	0,	0x00FF00
s: 0101008,	1,	3,	-1,	0,	0x00FF00

s: 9191001,	-1,	-1,	1,	0,	0x00FF00
s: 9191002,	-1,	-3,	1,	0,	0x00FF00
s: 9191003,	-1,	-3,	-1,	0,	0x00FF00
s: 9191004,	-1,	-1,	-1,	0,	0x00FF00
s: 9191005,	-3,	-1,	1,	0,	0x00FF00
s: 9191006,	-3,	-3,	1,	0,	0x00FF00
s: 9191007,	-3,	-3,	-1,	0,	0x00FF00
s: 9191008,	-3,	-1,	-1,	0,	0x00FF00

s: 9101001,	-1,	3,	1,	0,	0x00FF00
s: 9101002,	-1,	1,	1,	0,	0x00FF00
s: 9101003,	-1,	1,	-1,	0,	0x00FF00
s: 9101004,	-1,	3,	-1,	0,	0x00FF00
s: 9101005,	-3,	3,	1,	0,	0x00FF00
s: 9101006,	-3,	1,	1,	0,	0x00FF00
s: 9101007,	-3,	1,	-1,	0,	0x00FF00
s: 9101008,	-3,	3,	-1,	0,	0x00FF00

s: 0191001,	3,	-1,	1,	0,	0x00FF00
s: 0191002,	3,	-3,	1,	0,	0x00FF00
s: 0191003,	3,	-3,	-1,	0,	0x00FF00
s: 0191004,	3,	-1,	-1,	0,	0x00FF00
s: 0191005,	1,	-1,	1,	0,	0x00FF00
s: 0191006,	1,	-3,	1,	0,	0x00FF00
s: 0191007,	1,	-3,	-1,	0,	0x00FF00
s: 0191008,	1,	-1,	-1,	0,	0x00FF00

s: 0000911,	1,	1,	-1,	0,	0x00FF00
s: 0000912,	1,	-1,	-1,	0,	0x00FF00
s: 0000913,	1,	-1,	-3,	0,	0x00FF00
s: 0000914,	1,	1,	-3,	0,	0x00FF00
s: 0000915,	-1,	1,	-1,	0,	0x00FF00
s: 0000916,	-1,	-1,	-1,	0,	0x00FF00
s: 0000917,	-1,	-1,	-3,	0,	0x00FF00
s: 0000918,	-1,	1,	-3,	0,	0x00FF00

s: 0100911,	3,	1,	-1,	0,	0x00FF00
s: 0100912,	3,	-1,	-1,	0,	0x00FF00
s: 0100913,	3,	-1,	-3,	0,	0x00FF00
s: 0100914,	3,	1,	-3,	0,	0x00FF00
s: 0100915,	1,	1,	-1,	0,	0x00FF00
s: 0100916,	1,	-1,	-1,	0,	0x00FF00
s: 0100917,	1,	-1,	-3,	0,	0x00FF00
s: 0100918,	1,	1,	-3,	0,	0x00FF00

s: 9100911,	-1,	1,	-1,	0,	0x00FF00
s: 9100912,	-1,	-1,	-1,	0,	0x00FF00
s: 9100913,	-1,	-1,	-3,	0,	0x00FF00
s: 9100914,	-1,	1,	-3,	0,	0x00FF00
s: 9100915,	-3,	1,	-1,	0,	0x00FF00
s: 9100916,	-3,	-1,	-1,	0,	0x00FF00
s: 9100917,	-3,	-1,	-3,	0,	0x00FF00
s: 9100918,	-3,	1,	-3,	0,	0x00FF00

s: 0001911,	1,	3,	-1,	0,	0x00FF00
s: 0001912,	1,	1,	-1,	0,	0x00FF00
s: 0001913,	1,	1,	-3,	0,	0x00FF00
s: 0001914,	1,	3,	-3,	0,	0x00FF00
s: 0001915,	-1,	3,	-1,	0,	0x00FF00
s: 0001916,	-1,	1,	-1,	0,	0x00FF00
s: 0001917,	-1,	1,	-3,	0,	0x00FF00
s: 0001918,	-1,	3,	-3,	0,	0x00FF00

s: 0091911,	1,	-1,	-1,	0,	0x00FF00
s: 0091912,	1,	-3,	-1,	0,	0x00FF00
s: 0091913,	1,	-3,	-3,	0,	0x00FF00
s: 0091914,	1,	-1,	-3,	0,	0x00FF00
s: 0091915,	-1,	-1,	-1,	0,	0x00FF00
s: 0091916,	-1,	-3,	-1,	0,	0x00FF00
s: 0091917,	-1,	-3,	-3,	0,	0x00FF00
s: 0091918,	-1,	-1,	-3,	0,	0x00FF00

s: 0101911,	3,	3,	-1,	0,	0x00FF00
s: 0101912,	3,	1,	-1,	0,	0x00FF00
s: 0101913,	3,	1,	-3,	0,	0x00FF00
s: 0101914,	3,	3,	-3,	0,	0x00FF00
s: 0101915,	1,	3,	-1,	0,	0x00FF00
s: 0101916,	1,	1,	-1,	0,	0x00FF00
s: 0101917,	1,	1,	-3,	0,	0x00FF00
s: 0101918,	1,	3,	-3,	0,	0x00FF00

s: 9191911,	-1,	-1,	-1,	0,	0x00FF00
s: 9191912,	-1,	-3,	-1,	0,	0x00FF00
s: 9191913,	-1,	-3,	-3,	0,	0x00FF00
s: 9191914,	-1,	-1,	-3,	0,	0x00FF00
s: 9191915,	-3,	-1,	-1,	0,	0x00FF00
s: 9191916,	-3,	-3,	-1,	0,	0x00FF00
s: 9191917,	-3,	-3,	-3,	0,	0x00FF00
s: 9191918,	-3,	-1,	-3,	0,	0x00FF00

s: 9101911,	-1,	3,	-1,	0,	0x00FF00
s: 9101912,	-1,	1,	-1,	0,	0x00FF00
s: 9101913,	-1,	1,	-3,	0,	0x00FF00
s: 9101914,	-1,	3,	-3,	0,	0x00FF00
s: 9101915,	-3,	3,	-1,	0,	0x00FF00
s: 9101916,	-3,	1,	-1,	0,	0x00FF00
s: 9101917,	-3,	1,	-3,	0,	0x00FF00
s: 9101918,	-3,	3,	-3,	0,	0x00FF00

s: 0191911,	3,	-1,	-1,	0,	0x00FF00
s: 0191912,	3,	-3,	-1,	0,	0x00FF00
s: 0191913,	3,	-3,	-3,	0,	0x00FF00
s: 0191914,	3,	-1,	-3,	0,	0x00FF00
s: 0191915,	1,	-1,	-1,	0,	0x00FF00
s: 0191916,	1,	-3,	-1,	0,	0x00FF00
s: 0191917,	1,	-3,	-3,	0,	0x00FF00
s: 0191918,	1,	-1,	-3,	0,	0x00FF00

l: 00000112,	0000011,	0000012,	1,	0x00FFFF
l: 00000114,	0000011,	0000014,	1,	0x00FFFF
l: 00000115,	0000011,	0000015,	1,	0x00FFFF
l: 00000123,	0000012,	0000013,	1,	0x00FFFF
l: 00000126,	0000012,	0000016,	1,	0x00FFFF
l: 00000134,	0000013,	0000014,	1,	0xFFFF00
l: 00000137,	0000013,	0000017,	1,	0xFFFF00
l: 00000148,	0000014,	0000018,	1,	0xFFFF00
l: 00000156,	0000015,	0000016,	1,	0x00FFFF
l: 00000158,	0000015,	0000018,	1,	0x00FFFF
l: 00000167,	0000016,	0000017,	1,	0x00FFFF
l: 00000178,	0000017,	0000018,	1,	0xFFFF00
l: 01000112,	0100011,	0100012,	1,	0x00FFFF
l: 01000114,	0100011,	0100014,	1,	0x00FFFF
l: 01000115,	0100011,	0100015,	1,	0x00FFFF
l: 01000123,	0100012,	0100013,	1,	0x00FFFF
l: 01000126,	0100012,	0100016,	1,	0x00FFFF
l: 01000134,	0100013,	0100014,	1,	0x00FFFF
l: 01000137,	0100013,	0100017,	1,	0x00FFFF
l: 01000148,	0100014,	0100018,	1,	0x00FFFF
l: 01000156,	0100015,	0100016,	1,	0x00FFFF
l: 01000158,	0100015,	0100018,	1,	0x00FFFF
l: 01000167,	0100016,	0100017,	1,	0x00FFFF
l: 01000178,	0100017,	0100018,	1,	0x00FFFF
l: 91000112,	9100011,	9100012,	1,	0x00FFFF
l: 91000114,	9100011,	9100014,	1,	0x00FFFF
l: 91000115,	9100011,	9100015,	1,	0x00FFFF
l: 91000123,	9100012,	9100013,	1,	0x00FFFF
l: 91000126,	9100012,	9100016,	1,	0x00FFFF
l: 91000134,	9100013,	9100014,	1,	0x00FFFF
l: 91000137,	9100013,	9100017,	1,	0x00FFFF
l: 91000148,	9100014,	9100018,	1,	0x00FFFF
l: 91000156,	9100015,	9100016,	1,	0x00FFFF
l: 91000158,	9100015,	9100018,	1,	0x00FFFF
l: 91000167,	9100016,	9100017,	1,	0x00FFFF
